ds,yhat,yhat_lower,yhat_upper
2022-01-31,154.75946331153563,-393.3693132788885,719.3838457861699
2022-02-28,697.5882479410416,148.6460995155626,1254.0931430777903
2022-03-31,961.7060262386082,399.4544974312447,1523.7560303598623
2022-04-30,343.30866477068764,-234.80628425884916,905.2862682474672
2022-05-31,964.9763714147776,448.8200296166311,1544.5325096152108
2022-06-30,244.74068210062336,-354.1212578982779,802.4055224427746
2022-07-31,903.4956164862286,299.5078138941509,1526.9426973621091
2022-08-31,367.4203044058774,-190.44415207456296,940.2189465657009
2022-09-30,-243.02139147194958,-786.3650647179855,318.7119887896336
2022-10-31,-110.20522787364433,-687.046025559067,420.45951920910244
2022-11-30,-84.95942857301532,-645.8065603444543,515.9099255740739
2022-12-31,1047.9403146603365,479.6472349221067,1648.8521286458388
2023-01-31,440.06402606905016,-180.33116287879417,1047.7829316370958
2023-02-28,1188.5848594633474,575.2464904241428,1778.0589756807115
2023-03-31,777.9327101618138,267.87256363917373,1372.2288703100855
2023-04-30,402.86965982231817,-176.99887304007345,938.7642682546549
2023-05-31,1066.9598227558404,463.47150668230563,1661.5513542839767
2023-06-30,-85.02007490054632,-705.1706282900186,466.9371561562431
2023-07-31,1497.9690361030348,928.6913183002956,2064.9246945268933
2023-08-31,950.912636828645,335.61165833037245,1522.3806317848869
2023-09-30,-938.0387265684654,-1567.9502367258378,-352.82581996240134
2023-10-31,-122.17129992631965,-651.2837751240535,442.2790520121736
2023-11-30,861.4417843270851,242.96092443026913,1398.826389432934
2023-12-31,203.01829640719438,-374.19523126011984,803.3158897480412
2024-01-31,739.9361067742237,170.79137759978218,1309.0275610710346
2024-02-29,57.14043881614225,-513.5668945186876,611.8145507721675
2024-03-31,1664.7939413673653,1114.2806522237124,2252.5889058586567
2024-04-30,585.9386372652483,-34.51489898235576,1176.0554878747066
2024-05-31,1112.3444013732335,536.9092943381642,1676.958148521951
2024-06-30,1290.4716759068103,679.916916406582,1910.3020002715282
2024-07-31,102.91991981281325,-479.7336046101566,703.7047812891983
2024-08-31,-486.15142771451053,-1093.3577398528678,63.51257443359388
2024-09-30,1484.6480019227554,949.3544990027574,2074.71223149097
2024-10-31,321.9692580013844,-230.24418503877382,931.292347526561
2024-11-30,-1641.5207828005287,-2182.025012993784,-1085.0731608497656
2024-12-31,3076.5053335869075,2519.375527673766,3647.237353840498
2025-01-31,242.7534239365351,-318.71859791140247,776.2217391605942
2025-02-28,559.3825295077047,-31.262305040596093,1136.8177617627405
2025-03-31,1496.4919950279054,930.5648111292552,2055.4850031576266
2025-04-30,643.4742130922031,84.89988066204238,1229.2082771331811
2025-05-31,1219.246050640657,673.4592929391088,1803.8336174906192
2025-06-30,942.4532228866201,369.7125570100483,1517.6316927694954
2025-07-31,677.3817121583185,110.57917869935682,1220.2857080859042
2025-08-31,127.322047597954,-452.55104382006317,663.0506682318816
2025-09-30,803.9079210267549,212.11848171089213,1379.9250513601542
2025-10-31,276.99284395088324,-297.3729097755779,854.6706760282716
2025-11-30,-680.4190129243659,-1274.9735283495932,-119.39431183712213
2025-12-31,2245.1258036703302,1692.1200068479673,2862.674828931844
2026-01-31,513.4106984780027,-71.71285501211048,1015.8915823029861
2026-02-28,1056.2394835631535,505.1072910500726,1610.2737086868815
2026-03-31,1320.3572623662826,747.7160170583695,1872.3057467233316
2026-04-30,701.9599015074641,122.55473350837342,1244.1066780085273
2026-05-31,1323.6276087381082,799.1985522414033,1876.7518901942171
2026-06-30,603.3919199765833,58.84256552704148,1187.7061601887488
2026-07-31,1262.1468550381373,668.173176801217,1858.3992137664075
2026-08-31,726.0715434524275,185.18802974978868,1291.0429741483836
2026-09-30,115.62984819493909,-455.31057863007106,702.4655221702529
2026-10-31,248.4460123696117,-343.65227706391835,832.2682070293685
2026-11-30,273.6918121945653,-292.4808376904585,827.3357679752486
2026-12-31,1406.5915557800363,804.1069467372865,1971.9223853305703
2027-01-31,798.7152673869043,250.53825791408272,1373.3771320683097
2027-02-28,1547.2361008839398,953.4963195476278,2129.4447788988464
2027-03-31,1136.5839518628911,595.3200141033212,1682.3799044730356
2027-04-30,761.5209018846039,189.50881686142395,1356.9405035182208
2027-05-31,1425.6110652554062,888.8690512327881,1984.8681055496795
2027-06-30,273.63116811595216,-287.1526982458787,812.2647453436135
2027-07-31,1856.6202796863236,1333.9140868436816,2408.816382207413
2027-08-31,1309.5638808917495,754.1402933910346,1864.273084325308
2027-09-30,-579.3874819542627,-1165.4724451871678,-10.034203139763381
2027-10-31,236.4799450784327,-369.3319579860583,773.3450544403547
2027-11-30,1220.0930296278666,627.2948111168865,1796.6803479880302
2027-12-31,561.6695420733752,-20.39995416522267,1140.5989639905401
2028-01-31,1098.5873526870407,524.5845383197432,1631.4408854316696
2028-02-29,415.7916848854398,-105.42171198713525,986.3912794862412
2028-03-31,2023.4451874454562,1500.7738351777623,2643.0406908060177
2028-04-30,944.5898833389223,366.12886222020217,1509.722831488057
2028-05-31,1470.995647438818,913.0227705462617,2064.094393786706
2028-06-30,1649.1229219832107,1058.891147065857,2215.4187141883212
2028-07-31,461.5711658865143,-98.89728842817492,1015.9802472051759
2028-08-31,-127.5001816425854,-684.9750158789657,461.5073429681336
2028-09-30,1843.2992479942932,1322.3657587833454,2428.8378387848056
